에너지자원공학실습,박형동,23,Fall,5.0,"엄청난 꿀강
박형동 그는 신인가?
신 그는 형동인가?
👍👍"
에너지자원공학개론,전석원,20,Fall,4.0,"로드와 시험 설명은 아래에 언급이 많아서 생략하겠습니다.

개인적으로는 3학점 공학개론을 들어야 하는 과의 입장에서는 좋은 선택이 될 수 있다고 생각했습니다. 수업 시간에 다루는 내용들이 많이 부담스럽지도 않고, 지엽적인 문제가 몇몇 있으나 중요한 내용들을 수합한다면 유의미한 성적을 거두기 쉬운 편인 듯 합니다. 

과제의 경우에도 글감에 대해서 생각만 해내면 과제 수행 시간이 충분히 주어져 부담스럽지 않게 제출할 수 있다고 생각합니다.

성적이 딱 잘라서 부여되어 아쉽긴 했지만, 평가방식이나 성적 공개가 투명하게 되어 좋은 과목이였고 다른 사람들에게 추천하고 싶은 공학개론입니다."
에너지자원공학개론,전석원,20,Fall,5.0,"저는 괜찮게 들었는데 평이 미묘해서 놀랐네요

어차피 들어야 하는 공학개론이었기에 별 불만없이 잘 들었습니다. 솔직히 개론 강의라 덜 복잡하고 양이 적은 강의를 원했는데 적절한 난이도였던 것 같습니다.

채점 기준 같은게 명확하고 과제 기한도 상당히 넉넉하게 잡아주시기 때문에 별 부담은 없었습니다. 학생을 상당히 생각해주시는 교수님인듯 합니다. 질문 답변도 굉장히 빠르시고 수업 내용도 직접 체크해보시고 너무 어려운 내용은 생략해주십니다.

시험 방식은 교수님께서 첫 비대면 강의라 그런지 상당히 난해했습니다. 한문제씩 출제하셔서 하나 풀고 나갔다 들어오고 하나 풀고 나갔다 들어오고의 반복이었습니다.

물론 난해하긴 했지만 확실히 부정행위에 대한 의심은 없어서 좋았습니다. 비대면이라 치팅을 막기가 매우 어려운데 해당 시험 방식은 치팅이 불가능하기 때문에 적절했다고 생각합니다. 

시험 난이도는 지엽적인 문제 3문제 빼고는 대부분 쉬운 문제들로 구성되어 있었습니다.

이번학기 건환공개와 에자공개 둘다 들어봤는데 채점 기준이 명확한 에자공개가 몇배는 낫네요.."
에너지자원공학개론,전석원,20,Fall,3.0,강의는 전체적으로 나쁘지는 않은데 비대면 시험 방식이 좀 불만족스러웠다. 학점은 딱 비율 맞추는듯 하다.
에너지자원공학개론,전석원,20,Fall,3.0,"에너지자원공학 전반에 대해서 배우는 수업
강의 끝날 때 퀴즈가 한번씩 있고, 중간고사는 에세이 2편으로 대체
기말고사를 비대면으로, eTL 과제형식으로 했는데 시간제한이 빠듯하기도 하고 아쉬웠다"
에너지자원지구화학,정은혜,23,Spring,5.0,"강의력이 조금 부족하시지만 학생에 대한 편의는 그 누구보다도 월등히 좋았습니다. 강의력도 자료와 교재의 접근성이 낮았을 뿐 크게 흠잡을 구석이 없으셨으며, 조교님들도 모두 친절하셨습니다. 다만 일반화학을 안하고 올라와서 그런지 따라가는데 힘든 점이 있었습니다."
에너지자원지구화학,정은혜,22,Fall,5.0,"무난한 전공 강의입니다.
넓게 전반적으로 배우고요
다만 시험이랑 과제랑 갭이 조금 있어서, 아랫분 말처럼 베이스가 없다면 조금 힘들수도 있어요

그랑 별개로 교수님은 참 좋았습니다."
에너지자원지구화학,정은혜,21,Fall,5.0,공부를 많이 해도 기본적인 화학적 베이스가 없다면 시험을 잘 못 볼 수도 있다는 평이 많은 것 같았습니다. 다만 저는 공부한 만큼 성적이 잘 나왔고 강의력 역시 좋으시며 질문을 자세히 잘 받아주셔서 좋았습니다.
에너지자원유체역학,민기복,23,Fall,5.0,"By Definition, 교수님 조교님 모두 상당히 친절하시다.🧸"
미래 에너지 시스템과 과학정책,박상욱,23,Fall,5.0,"수업내용 부담x 로드 부담x
내용이 전공이라기엔 어렵지않고 어려운내용이 나와도 흥미롭게 들을수있었습니다! 무엇보다 수업 주제가 꽤 정치적일수 있음에도 불구하고 교수님께서 상당히 중립적인 시각을 갖고계시고 생각할거리를 많이 던져주셔서 매시간 기다려지는 수업이었어요
막학기를 교수님과 함께해서 너무 좋았습니다!! 과학기술수석비서관 되신거 정말 축하드리고 임기 무사히 마무리하시고 잘 복귀하셨으면 좋겠네요 ㅎㅎㅎ"
미래 에너지 시스템과 과학정책,박상욱,23,Fall,5.0,"과학기술정책 수업과 약 30%정도 내용이 겹치는 부분이 있어서 과학기술정책 수업을 듣고 이 과목을 들으면 비교적 수월하게 느껴질 수 있다. 다만 시험을 대체하는 두 번의 조별 발표가 있는데, 조 인원 수가 적어서 생각보다 시간 을 많이 잡아먹었다. 두 번의 조별 발표 전까지는 로드가 아예 없는 꿀과목이라고도 볼 수 있을 것 같다. 학점도 잘 주시는 것 같다."
미래 에너지 시스템과 과학정책,박상욱,23,Fall,5.0,"교수님 사랑해요
조별과제 두번 있는데 교수님께 피드백 요청하면 잘 해주셔서 의견 반영하면 좋은점수 받을 수 있어요!!"
미래 에너지 시스템과 과학정책,박상욱,22,Fall,5.0,"걍 무조건 듣길 권장함 교수님이 재밌으시고 배우는 것도 많고 로드 부담도 적음
이 교수님 강의는 더 듣고 싶다는 마음이 생김"
미래 에너지 시스템과 과학정책,박상욱,21,Fall,5.0,"과학기술정책과 함께 sts 최고의 명강 박상욱 교수님이 가르치시는 단 두개의 강좌 중 하나. '옳아야 하는 것'에 얽매이지 않는 몇 안되는 수업. 분석적이고, 현실적이면서도 이상의 필요성을 놓치지 않고, 흥미롭고, '그래야 하는 것'에서 벗어나 학생들이 유연한 시각을 가질 수 있도록 유도하며, 단연 과학기술학 연계전공 최고의 명강 중 하나. 과학기술정책과 함께 학우에게 항상 추천하는 강좌.
조별과제 2번, 기말 텀페이퍼 1번. 시험이 없음을 감안하면 과학기술정책 강좌보다 로드가 적게 느껴질수도 있음. 강의가 상당히 체계적이고 흥미로운 내용이 많음.(개인적으로는 과학기술정책학이 더 재미있긴 했음) 조별과제보단 기말 텀페이퍼가 변별력을 가짐. 재미있고 창의적인 아이디어를 가장 좋아하시면서도 강의의 내용을 녹여내는 것을 좋아하시는 듯(발제와 텀페이퍼 둘 다)"
지구환경과 에너지문제,여민주,23,Spring,5.0,"과제라기에도 애매한 간단한 글쓰기 2번과 팀플발표, 기말고사로 학기가 끝나는데 체감 상 로드가 많은 느낌은 아닙니다. 다만 팀플발표와 기말고사 기간이 겹치는 만큼 교수님이 시간주실때 팀플 끝내두는게 좋고 성적은 정말 후하십니다."
지구환경과 에너지문제,여민주,23,Spring,5.0,"지구 환경 변화와 기후변화, 에너지에 관련된 전반적인 논의를 배울 수 있는 좋은 강의였고 교수님이 천사이십니다..."
지구환경과 에너지문제,여민주,23,Spring,5.0,"교수님 강의력 좋으시고 피피티 깔끔합니다. 중간 기간에 영화도 봤고 수업 일찍 시작하거나 할 때 간식도 사주시고 교수님 인품은 의심할 여지 없이 정말 최고ㅠㅠ
성적도 정말 잘 주시는 게 제가 출석 다 하고 발표 짜잘한 과제 무난하게 하고 기말 35점 만점에 24.5점으로 말아먹었는데도 에제를 선사하심 공부 좀만 했으면 에쁠은 따 놓은 당상일 듯. 들으시는 분들도 다 열정적이라서 팀플도 원활하게 잘 이루어졌습니다. 다루는 내용이 방대하고 시험 내용도 좀 지엽적이고 공부는 그냥 열심히 해야 되는 느낌. 글환경 입문용 강의로 좋은 것 같아요!"
지구환경과 에너지문제,여민주,23,Spring,5.0,"교수님 강의력 : 최상

수업 재미 : 개꿀잼

학점 : 개 잘주심

로드 : 보고서, 기말시험, 기말발표(좀 힘듦)

교수님 성품 : 최최최최최상"
지구환경과 에너지문제,여민주,23,Spring,5.0,"교수님 최고...
친절하시고 잘 가르쳐주시고.. 중간고사 기간에는 영화도 틀어주셔요..
성적도 잘 주시는 듯 
다만 기말 한방이라 시험범위 많음"
지구환경과 에너지문제,여민주,22,Spring,5.0,"교수님이 정~~~~~말 친절하십니다.
질문도 진짜 잘 받아주시고 수업을 너무 빡빡하지않게, 학생들 챙겨가면서 하시는게 느껴져서 너무 소중한 수업이었어요!!
환경분야에 관심이 있다면, 글환경에 관심있다면 입문용으로 들어도 될 것 같아요. 약간 이과적인 지식도 필요하지만 문과도 충분히 따라갈 수 있는 수준입니다 ㅎㅎ
학생들 의견 듣는걸 중시하셔서 발표 부담이 조금 있을 수 있고+시험이나 과제를 꼼꼼하게 검토하셔서 걱정스러울 수 있지만, 결국 학점을 잘 주셔서 한없이 감사하게 되는 수업입니다. 추천드려요!!!"
지구환경과 에너지문제,여민주,21,Spring,5.0,ㄹㅇ 시험 점수 크리터컬한데 학점 ㅗㅏ 감사합니다
에너지자원재료역학,송재준,23,Spring,3.0,솔루션 없었으면 절대절대절대 못들었을 수업.
에너지자원재료역학,송재준,23,Spring,2.0,"전필이 아니라면 듣는 것을 추천하지 않지만, 전필이라 꾸역꾸역 듣는 강의
에자공학생들이 떨어져나가는 첫 관문 느낌"
에너지자원재료역학,송재준,22,Spring,4.0,"재료역학을 배웁니다. 과제는 챕터 끝날때마다 5, 10문제 문제풀이고 시험은 교재 문제은행의 괴랄하지 않은 난이도의 문제 뽑아서 출제. 시험 두개중에 하나는 q1도 못 받았을텐데 나머지 시험을 선방한건지 드랍자가 많았던건지 다행히 재수강 성적은 안나옴 드미포 235 소문도 들었지만 이번엔 이것보단 잘 주신걸로 추측됨"
에너지자원재료역학,송재준,22,Spring,2.0,"전필이 아니라면 듣지 않는 것을 권해드립니다
성적은 드미포 235로 준다는 카더라에, 수업의 질도 썩 좋지는 않습니다. 하지만, 질문은 잘 받아주십니다

기말 성적도 알려주지 않고 학점을 통보하십니다. 최종성적은 B+."
도시 형태와 에너지,Quan Jige,23,Spring,2.0,학점 너그럽게 받을 수 있는거 말곤 내세울게 없음..
물질 및 에너지 수지,남재욱,20,Spring,5.0,"컴개실이나 유체나 물에수나 남교수님은 항상 수업 방식이 일관됨
아이덴티티가 확실한게 장점이자 단점"
전기에너지변환,한승용,23,Fall,5.0,"전자기학 기초부터 모터까지 차근차근 배웁니다. 전력이나 에너지 분야에 관심있으시면 꼭 듣는것을 추천드립니다. 난이도는 체감상 모터부분만 좀 어려웠습니다. 강의력 좋으시고 이번학기는 시험 4번(오픈북), 과제 8개(채점X)로 로드도 많지 않았습니다. 학점은 잘주시겠다고 하셨어요"
전기에너지변환,한승용,22,Fall,5.0,좋았음 퀴즈가 많음ㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇ
전기에너지변환,한승용,21,Fall,5.0,"만족할만한 수업이었다. 솔직히 전력이나 모터쪽으로 갈 생각은 없고 그냥 졸업하려고 들은 수업이지만, 나름대로 재미있었다. 초반엔 조금 빡세고 갈수록 널널해지지만, 마지막에 다시 빡세진다. 책이 꽤나 잘 쓰여있지만, 독학은 절대 안되니 반드시 수업을 잘 듣도록 하자."
전기에너지변환,한승용,19,Fall,3.0,"전기차가 꿈이 아니시라면 그냥 패스하시는걸 추천. 배우는건 정말 많고, 교수님도 굉장히 열정적으로 강의하시는데 퀴즈와 과제러시로 로드가 상당히 심각합니다. 학점도 딱 비율대로 주시는 듯 하고, 시험 난이도 조절이 불안해서 너무 쉽거나 너무 어렵거나 널뛰기 하느라 운빨을 받습니다."
전기에너지변환,한승용,18,Fall,2.0,"전력쪽 가실거아니면 듣지마세요..
교수님은 좋으시나 퀴즈랑 시험이 너무 극혐"
도시의 물질과 에너지 순환,김재영,22,Spring,4.0,"수업 내용: 수업은 교수님께서 12주동안 폐기물의 특성과 다양한 폐기 방법, 그리고 재활용에 관한 개념, 폐기물의 성상과 공정에 의한 변화 등 폐기물에 관해 강의식 수업을 진행하시고, 3차 시험 후에 2주동안 팀 프로젝트에 대한 발표를 진행합니다. 강의는 여러 공대에서의 일반적인 전공 필수 과목과 다르지 않고, 다만 폐기물 관련 법이나 정책에 대한 내용도 있어 이에 대한 교수님의 견해를 전해주시기도 합니다. 재활용이나 폐기물 처리를 비롯한 환경 인프라에 관심 있는 분이라면 한 번 들어도 좋은 과목이라고 생각합니다.
과제: 많지 않습니다. 이번 학기에는 총 네 번 주셨는데 책 읽고 한 페이지 분량 독후감 쓰기와 나라별 폐기물의 성상 특징과 같은 폐기물의 현황에 대한 자료 조사 과제 세 번이 있었습니다. 양이 많지는 않지만, 분량에 제한이 없기 때문에 사람에 따라 걸리는 시간은 천차만별입니다.
평가: 시험을 세 번 보는 과목이라는 점 + 팀 프로젝트가 있음 + 팀 프로젝트를 초안과 최종 발표안으로 나눠서 두 번에 걸쳐 피드백을 주고 상호 평가해야 함(A,B,C 그룹으로 나눔 + 그 피드백에 대한 대답 역시 상호 평가 대상임) > 학점 미화 때문에 수업 내용은 좋았지만 팀 프로젝트의 부담이 많이 컸습니다.
총평: 재수강반인데 수업 스케줄이 겹쳐서 초안지로 수신해서 듣게 되었습니다. 김대용 교수님의 수업이야 이해 잘 되고 과제도 필요한 문제만 집어서 주시기로 유명하니까 따로 말하지 않겠습니다. 그냥 재수강생이면 이거 들으세요, 학점을 위해서든, 행렬과 미분방정식 개념 전반에 대한 이해를 위해서든 이 수업은 굉장히 유익합니다."
전력 및 에너지시스템의 기초,문승일,20,Spring,5.0,공부할거 거의 없음. 코로나 때매 기말 한방이었지만 시험은 역시나 쉬웠고 ti nspire와 함께라면 검산 3번씩 가능 ㅎ 대부분 80-90점 나옴 계산실수 안하고 설명문제 잘쓰면 A+
전력 및 에너지시스템의 기초,문승일,20,Spring,5.0,"출석: 매주 일요일에 주별 강의 들었나만 확인
과제: 문제풀이 4번,  코딩 2번 나옴(안 어려움)
강의력: 잘 하긴 하는데 똑같은 말 계속 반복하셔서 복습 철저히 하면 ㄹㅇ 시험공부할거 없음(본인은 10주치 분량 3일에 다 듣느라 좀 고생함)
시험: 계산 싸움. 풀이방법이 어려운 문제는 정말 하나도 없음. 그런데 계산 어려워서 100점은 안나옴. 기출 계속 보면서 계산 연습을  많이 할수록 유리.
학점: A+, A0의 비율은 잘 모르겠으나 66명중 31등한 본인 A- 받음. 66명 중 21등한 사람도 A-라는 것을 보아 이번에 A 꽤 뿌린듯.
총평: 회로테크 탈 사람 및 전력에 관심 있는 사람에겐 무조건 추천."
전력 및 에너지시스템의 기초,문승일,18,Spring,5.0,농담에 코드 맞으면 재밌음ㅋㅋ 공부할 내용은 안 많음 시험은 약간 난이도 있으나 점수는 잘 주심
전력 및 에너지시스템의 기초,문승일,19,Spring,4.0,한학기동안 배우는 내용 A4 한페이지로 요약가능.
건물열에너지이론,박철수,23,Spring,5.0,"영어강의지만 왜인지 한국어뿐이라 정말 편하게 수업 들을 수 있음
내용 무겁지 않고 시험도 쉬운편
다만 교수님이 말하시는 속도는 느린 데에 반해 필기속도는 빠르셔서 정신없이 필기해야 하는 경우가 많음
시험 평균이 너무 높아서 학점을 걱정했으나 학점도 엄청 너그럽게 주셔서 결과도 만족함
취향따라 갈리겠지만 수업도 은근 재밌음"
건물열에너지이론,박철수,21,Spring,5.0,"교수님 최고ㅠㅠ
생각보다 세세하게 외울 내용은 별로 없어서 수업 잘 듣고 흐름 잘 따라가면서 공부하면 되는 것 같습니다. 대신에 수업을 제대로 안들으면 좀 헷갈릴수도 있어요.
학점은 점수를 안알려주셔서 기준은 모르지만 아주 잘 주시는 듯 합니다!"
건물열에너지이론,박철수,21,Spring,5.0,"최ㅡ고

수업 듣다 보면 생각날 법한 질문을 그럴줄 알았다는 듯 설명해주심 거의 도사급"
에너지,차국린,23,Fall,3.0,"교수님이 수업 준비를 별로 안하시는 듯?
그리고 과제가 너무 많아요"
에너지,차국린,20,Spring,4.0,"에쎈유였음
과제 6개 레포트 있음. 2주마다 하나 써야하는게 은근 귀찮았지만 에쎈유라고 생각하고 적당히 해서 견딜만은 했다
내용은 대체로 에너지 관련해서 상식적인 내용들에 에너지 시사같은것도 있고
교수님은 좋은분같음"
에너지,차국린,19,Spring,2.0,"사람 엄청 적음. 뒤에있던 수강생은 컴퓨터로 딴짓하는거 같던데 한명은 C받은걸로 알고 있음.
중간고사는 간단하게 발표내용 상담. 기말고사는 실제발표(15분)로 채점하고 레포트 6번해가면 됨. 열심히하면 잘 주나 대충하면 C받을 듯"
에너지환경기술경영,허은녕,23,Fall,1.0,"짬 찬 병장은 아무도 막을 수 없다.
이 수업도 그러하다"
에너지환경기술경영,허은녕,23,Fall,1.0,"개쓰레기 과목
'관악 불후의 명강?' <누가 선정하는지는 모르겠지만 관악산에서 지나가던 노루가 비웃을 예정
성적 반영 비중 가장 큰 기말 팀 프로젝트, 기말고사 점수 공개도 안하고 기습 학점공개, 클레임 따윈 받지 않겠다는 필사의 의지가 돋보입니다.
수업에서 진도를 나간 내용에서 과제가 나오는데, 사실상 수업에서 가르쳐주는것은 하나도 없고 뜬구름 잡는 소리만 하다가 끝내서 과제는 그냥 책 보고 공부해야합니다. 그렇다고 과제를 꼼꼼하게 내느냐? 그냥 여기저기서 문제 대충 긁어놔서 매 과제마다 채점기준이 모호함. 근데 이걸로 문의하면 항상 답변이 다른 사람은 다 A로 생각했는데 왜 너는 B로 생각했냐? 왜 어렵게 생각하는냐? 이런식으로 모든 클레임을 정리합니다. 교수님이 전체적인 큰 그림을 그리고 학생이 공부하는 플립러닝? 같은 수업을 지향하는 것을 있을 수 있다고 하더라도 그러면 학생이 공부해온것에 대한 피드백이 있어야지 교수자는 단순히 ""조교가 낸 문제라서 난 잘 몰라', 조교는 '왜 너 혼자만 복잡하게 생각하냐' 그냥 철벽 그자체입니다.
교수님이 중간고사 전에 공지한 것들 본인도 잊어버리시는건지 아니면 학생을 역맥이려는건지 아예 다른 형식으로 문제 출제 (수업 듣는게 손해인 이유 2)
강의실 두개로 나눠서 시험보는데 두 강의실별로 공지가 달라서 불공정 발생.
서술형에서 감점이 있어서 모범답안을 요청했더니 '아 교수님이 모범답안이 있는 것을 싫어하셔서...'
뭐 이외에도 진짜 수만가지가 있지만 그냥 줄입니다.
참고로 20년전 기출이랑 아직도 문제가 50%이상 동일합니다.
전필이면 어쩔수 없이 들어야겠지만 과목 이름보고 혹해서 들어왔다는 이도저도 아닌 힘들고 짜증나는 경험이 될 것이라고 자신합니다. 화이팅!
혹시 경영에 관심이 있다면 차라리 경영대에 가서 제대로 된 경영수업을 듣는 것을 추천드리고, 어쩌면 경영에 대한 혐오를 부추겨서 공대에 남겨 이공계 인력 보존시키려는 계략이 아닌가 싶은 정도로 배우는게 없습니다."
에너지환경기술경영,허은녕,22,Fall,5.0,"작성된 강의평들에 대해 어느 정도 왜곡된 점이 존재하는 것 같아 성적 공개 후 분포를 여쭤보고자 연구실에 찾아가서 확인한 객관적인 결과를 공유드리고자 글 씁니다.

  본 수업의 점수 배분은 800점 만점에 출석 50 + 시험 250 (중간 100 + 기말 150) + 팀 프로젝트 300 (중간 발표 100 + 기말 발표 100 + 기말 레포트 100) + 개인 과제 200으로 이루어져 있습니다. 밑에 분들 말씀처럼 로드가 굉장히 많습니다. 따라서 학기 중 시간 투자를 어느 정도 할 각오로 수강해야 한다는 의견에는 동의합니다. 
  하지만 이를 교수님이 인지를 못하시는 부분은 아닙니다. 그 근거로 팀 프로젝트 팀장은 A- 이상의 학점이 보장해주십니다. 실제로 전체 분포에서 꼴찌를 하였더라도 팀장이라면 A-를 주시는 것으로 보입니다. 다만 A0, A+ 학점을 받기 위해선 전체 점수를 잘 받아 높은 등수를 기록해야 합니다. 성적 분포를 여쭤보았을 때 확인한 결과는 성적 자체는 A+~C+까지 빽빽하게 잘라서 주십니다. 그러나 위에서 말했던 팀장 학점 보장 제도 덕택에 전체 수강생 중 절반 정도가 A를 가져갈만큼 공대전공치곤 학점이 후한 편이라고 볼 수 있습니다. 특히, 로드가 많다고는 하지만 그만큼 실제 수업을 빨리 끝내주십니다. 통강으로 진행된 이번 학기 수업은 전체 3시간 중 발표나 시험 외 정규 수업 시간은 1시간 반 이내로 일찍 끝난적이 많으며 영강으로 진행되었지만, 교수님 영어 발음도 듣기 전혀 거북하지 않습니다. 심지어 수업 종료 후 한국어로 녹음된 녹화 영상을 업로드 해주실만큼 영강임에도 많이 배려해주십니다.
  또한 소문처럼 팀플이 많은 것을 결정하기 때문에 저 또한 프로젝트에 많은 시간을 투자해야 한다는 인식을 갖고 있었습니다. 그러나 이는 너무 과장된 것이라고 생각합니다. 팀 프로젝트에 매겨진 점수를 확인 했을 때, 중간 기말 발표 모두 100점 만점에서 5점 단위로 끊어서 95점, 90점, 85점, 80점 내외로 모든 조가 받아간 것을 볼 수 있습니다. 아마 중간 발표 및 기말 발표&레포트를 하더라도 점수 차이는 최대 30점 내외일 것으로 보입니다. 따라서 팀 프로젝트만 잘한다고 해서 많은 것을 뒤집기는 어렵습니다.

  중요한 것은 과제와 시험입니다. 특히 이번 학기는 과제가 총 7번 부여되었으며 2번을 제외하곤 전부 교재에 있는 연습문제 풀이 후 제출로 진행되었습니다. 처음 보면 당황스러울 수 있지만 과제 문제가 시험에 연계되기도 하며 팀 프로젝트에서도 사용할 경제성 분석 계산을 익혀본다는 차원에서 매우 합리적이라고 생각합니다. 특히 채점하시는 조교님께 여쭤보면 굉장히 후하게 채점하려고 노력하시고 과제는 시험을 위한 연습이라고 말씀하시며 점수를 안깎는 방향으로 채점하신다고 하니 조금만 노력해서 과제 제출하시면 됩니다. 제가 성적 분포 확인했을 때, 오히려 과제 평균을 보고 과제에서 학점이 갈리나 싶을만큼 생각보다 많은 수강생들이 과제에서 짜잘하게 점수가 감점된 것을 볼 수 있습니다. 한 가지 꿀팁을 드리자면 교수님이 강의계획서에 적어두신 한 가지 책의 연습문제에서 주로 과제가 나오니 점수를 잘 받고 싶으신 분은 그 책의 연습문제를 보시는걸 추천드립니다. 공대생답게, 솔루션은 구글링으로 충분히 얻어낼 수 있습니다. 저도 솔루션을 참고하며 과제를 했더니 과제에서 점수가 전혀 깎이지 않고 시험때 어떤 방식으로 서술할지 그 틀을 미리 잡는 연습을 할 수 있었습니다.
  다음으로 시험입니다. 제가 강의평에 왜곡되었다고 생각하는 부분이 바로 이 부분입니다. 이 수업 역시 다른 수업과 다를게 하나 없이 시험으로 많은 것이 결정됩니다. 중간고사는 중간기간 직전까지 배운 경제성 분석 연습 과정으로 과제와 연계된 계산 문제들이 많이 출제되며 일부 T/F 문제와 논술형 문제 (경제적 수명에 대한 문제)로 구성됩니다. 또한 맨 마지막에 보너스로 5점 자리 문항이 있어서 100점 만점이 아니라 105점 만점으로 구성되어 있습니다.
통계량은 105점 만점에 평균 76점, MAX 104점이었습니다. 논술형 문제는 중간고사 때 전부 강조하신 부분에서 출제됩니다. 따라서 과제 문제를 열심히 풀며 계산에 숙달만 되어있으면 어렵지 않게 시험 준비가 가능하다고 봅니다. 아무래도 계산 문제가 많아 이 부분에서 실수가 발목을 잡아 수강생들의 통계가 그리 높지 않았던걸로 보입니다. 
  기말고사는 중간고사와 비슷하게 경제성 분석 문제 1개 (50점), T/F 및 논술형 문제 (50점)으로 구성됩니다. 다만 중간고사와 다르게 150점 만점이라서 기본 점수 50점이 부여됩니다. 통계량은 150점 만점에 평균 141점, MAX 147점으로 계산 문제가 없고, 평이해서 다들 점수가 높습니다. 하지만 논술형 문제가 강조한 부분을 제외한 PPT 슬라이드에서도 출제되어 공부하실 때 더 신경쓰셔야 합니다.

  마지막으로 팀 프로젝트는 매년 주제가 변경되며, 보통 경제성 분석을 도구로 사용할 수 있는 주제가 주어집니다. 팀당 5~6명 인원으로 구성되고 팀 구성 이후 드랍자 발생시 그대로 가야하기 때문에 형평성에 어긋날 수도 있긴 합니다. 하지만 대부분 팀 구성 이후 그대로 학기가 마무리 되기 때문에 이 부분에서 너무 걱정하지 않으셔도 됩니다. 중간, 기말 발표는 이번 학기 영강이라 모두 영어로 20분 안쪽으로 진행되었습니다. 기말 레포트도 영강이라서 영어로 작성해야하는 듯 했으나, 이후 공지에서 한글과 영어로 모두 작성 가능하여 부담감이 조금은 내려갔습니다. 총 30페이지 이내로 파일과 인쇄본 모두 제출해야 합니다. 분량은 팀에서 나눠 쓰는 것이기 때문에 부담가지실 필요 없습니다. 오히려 필요한 내용만 간추려 넣느라 분량 줄이는 것이 더 어렵습니다. 실제로 예전 수업 중 분량 제한이 없을 때 150페이지를 제출했다는 썰을 풀어주신걸 보면... 오히려 분량 제한하는 것이 수강생들 부담을 줄이는 차원에서 합리적이라고 판단하신 것 같습니다.
  다른 조는 시간투자를 얼마나 많이 했는지 모르겠으나.. 개인적으로 교수님의 다른 수업인 에너지와 기술의 경제학을 수강했을 때도 프로젝트에 너무 많은 시간을 쏟아붓는 것은 무의미하다고 생각해 1주일에 1번, 1시간 정도 타이트하게 진행했습니다. 제가 조장을 하면서 다른 조들과 비교해 회의 시간이 조금 적지 않나 하는 생각도 했습니다만, 성적 분포를 보니 꼭 회의 시간이 많다고 좋은 결과를 얻어내고 좋은 평가를 받는 것은 아닙니다. 실제로 중간 발표때 모든 조들이 20분을 타이트하게 사용할 때, 저희 조만 약 16분 정도로 짧게 발표를 진행했음에도 중간 발표 95점으로 최고점을 획득했습니다. 그러니 다음에 강의를 수강하시는 수강생분들도 필요한 부분만 골라내어 효율적인 회의를 중시하셨으면 좋겠습니다.
  정리하자면 팀플 + 시험 + 과제 + 칼 같은 출석으로 시간 투자가 필요한 강의는 맞습니다만, 그렇다고 해서 의미 없는 것이 아닙니다. 이 강의는 ‘투자한 만큼 얻어갈 것이 많은 가치가 있는 수업’이라고 평가하고 싶습니다. 그렇기에 교수님이 초반 수업때 이 강의가 불후의 명강이라고 뽑혔다고 자랑스럽게 말씀하실 정도로 좋은 수업, 명강임엔 틀림 없습니다. 꿀강이라고는 말을 할 수 없을만큼 로드가 많습니다. 하지만 선배님들에게 적절히 시험, 과제 족보를 얻고 교수님이 강조하시는 부분만 들으면 높은 점수를 기록할 수 있습니다. 팀플도 족보가 있으므로 이 부분을 참고하여 노하우를 터득하면 좀 더 효율적으로 수강할 수 있을거라고 생각합니다. 따라서 선배들에게 적절히 족보만 얻을 수 있으면 생각보다 꿀?이라고도 볼 수 있을 것 같습니다. 제 개인적인 별점은 4점 주고 싶지만, 아래 별점이 너무 낮아서 과소평가 되었다는 생각에 5점 주었습니다. 전공필수라서 어차피 들을 수밖에 없는 운명이라면 위에 쓴 것처럼 최대한 효율적으로 시간을 사용해서 꿀 빠세요."
에너지환경기술경영,허은녕,22,Fall,2.0,"선배들에게 미리 전해들어서 각오를 하고 버틴다는 마인드로 들었고, 예상했던 대로 시간 투입이 많은 과목이었습니다. 팀플도 오래 걸리고 할게 많았고, 짜잘한 개인 과제도 많았습니다.
그래도 마지막에 학점은 잘 주시네요. 솔직히 제가 왜 이 학점인지 잘 모르겠지만, 팀플이 95프로 이상 결정하는 것 같습니다. 
어떻게 보면 좀 가혹한 것 같기도 합니다. 사실 팀마다 내는 대안들이 거기서 거기고 경제성 분석이야 뭐 계산이니까요. 조마다 프로젝트의 퀄리티 차이가 그렇게 크지 않은데, 그게 한학기 학점을 갈라버리니까요.
다시 들을 생각도 없고, 다시 듣는다고 이 학점 만큼 받을 자신 있다고 1프로도 장담 못하겠습니다. 걍 운에 맡기시고, 학점 후하게 주니까 끝까지 버티세요"
