초급러시아어 1,윤서현,23,Spring,4.0,"교수님께서도 친절하시고 잘 가르치심. 개인적으로 만족스러운 강의였음. 다만, 러시아어에 관심이 없다면 아에 듣지 않는 것을 추천. 러시아어 자체가 복잡하고 어려움."
초급러시아어 1,이수현,23,Fall,5.0,"러시아어 난이도 - 대재앙
수업 - 재밌음
과제 - 매주 있음
학점 - 드랍자 많아서 잘주심
결론 - 열심히 하고 러시아어 관심있는 사람만 들으세요"
초급러시아어 1,이수현,23,Fall,5.0,아직 성적은 안나왔지만 이번 학기 제 최애 강의였어서 5점 남기러 왔어용ㅎㅎ 교수님 수업도 열정적으로 하시고 중간중간 개그치시는 것도 넘 웃겼어요. 사람이 너무 좋으세요. 성적 아직 안나왔지만 애초에 수강자수가 15명? 정도였고 거기에 드랍자까지 생기고 자드러도 있으니까 성적은 어느정도 보장되어있다고 보시면 될 듯해요
초급러시아어 1,이수현,22,Fall,5.0,"매주 숙제가 있지만 시험을 공부하는 데이는 오히려 효율적입니다. 내용 자체는 조금 어렵지만 교수님께서 교재의 문제에서 거의 그대로 내시기 때문에 숙제를 제대로 했다면 오히려 시험기간 때에는 부담이 적습니다. 교수님께서도 굉장히 열정적이시고 친절하시기 때문에 외국어에 흥미가 있으신 분들에게 추천드립니다. 

매주 숙제, 퀴즈 두번, 중간 기말 한 번씩"
초급러시아어 1,이수현,22,Fall,5.0,"매주 과제제출, 단어시험 2회, 중간/기말고사, 기말고사 이후 러시아어 녹음 제출 (2인1조)

할게 좀 많긴 한데 각각이 그렇게 부담이 심하진 않아요. 러시아어 관심있으면 입문용 강의로 추천. 교수님이 학생들과 거리 안 두시고 신경 많이 써 주시는 좋은 분입니다."
초급러시아어 1,이수현,22,Spring,5.0,"어렵지만 교수님께서 열정적으로 가르쳐주셔서 배우는데 재미를 느꼈습니다. :) 연습문제 풀어오는 숙제는 매번 있지만, 최소한의 감을 유지하기 위해서 꼭 필요한 부분이라 생각했습니다. 다만 복습 꾸준히 하면서 잘 따라가는게 중요합니다! 진도가 조금 빠른 감이 없지 않아 있어요 ㅠㅠ!"
초급러시아어 1,이수현,21,Spring,5.0,"야 유블류 쁘라뻬싸르! 에따 자냐찌야 오친 하라쇼 
다음 학기 부터는 대면이라 상대평가로 평가하신다고 하니 이번학기 처럼 개꿀빨기는 어렵겠지만 그래도 하필 러시아어 듣기로 마음 을 먹으셨다면 추천!! 생각보다 와 너무 어렵다 할 정도는 아니고 할만한것 같아요! 물론 끼릴문자는 아직도 안익숙해서 좀 들여다 봐야 보이긴 하지만 ㅋㅋㅋ.. 이 수업 듣고 코로나 끝나면 시베리아 횡단열차로 떠납시다 히히"
초급러시아어 1,이수현,21,Spring,5.0,1차 2차 중간 기말 시험 다 생각만큼 못봤는데 에제입니다..감사합니다 교수님!!
초급러시아어 1,이수현,21,Spring,5.0,그저 갓... 녹강 절반 정도 늦게 들어서 결석 처리 됐는데 A0... 감사합니다
초급러시아어 1,이수현,20,Fall,5.0,노어는 너무 어려웠지만 교수님은 정말 천사시다. 결석 3번에 기말고사도 반타작 조금 넘은 것 같은데 에쁠. 사랑합니다 교수님...
초급러시아어 1,이수현,20,Spring,5.0,"학생들에게 너무너무너무 친절하십니다 약간 엄마같은 느낌 학점도 잘 주시니 그저 완벽 
다만 외국어 수업이다보니 매주 숙제가 있다는 점은 감안해야함
솔직히 러시아어 어려운 건 맞는데 수현교수님이랑 같이 으쌰으쌰하면 정말 배울만 한 것 같다 별점 100개가 없어서 아쉬울 뿐
오친 스파시바 프라페싸르"
초급러시아어 1,이수현,20,Spring,5.0,그저 빛이신 교수님이 학생들한테 지나친 기대는 안 하시면서도 적당히 챌린징한 면도 있게 끌어가 주십니다 . 러시아어 어렵다고들 하시는데 그래서 오히려 조금만  열심히 하면 에쁠 받아갈 수 있는... 하사해 주시는... 것 같아요. 원래 중간중간 동사 활용형 퀴즈도 보고 기말과제로 조 짜서 발표도 한다는데 이번 학기는 비대면이니만큼 부담 없이 할 수 있는 과제들로 대체됐구요. 사실 그냥 무엇보다 교수님이 너무 좋아서 추천드립니다.
초급러시아어 1,이수현,19,Fall,5.0,"러시아어 어렵지만 교수님께서 잘 가르쳐주십니다. 원래 드랍자 많다고 했는데 올해는 드랍자가 적어서 잘라주시긴 했는데, 그래도 거의 쁠몰로 주십니다. 연습문제 푸는 과제는 있으나 제출 안해도 점수 감점없으나 러시아어 연습문제 첨삭을 못받는 단점이 있습니다. 지각은 6번까지 감점 없습니다."
초급러시아어 1,이수현,18,Fall,5.0,"일단 러시아어 자체가 너무 어려워요... 알파벳부터 발음, 문법까지 안어려운 게 하나 없지만... 그래도 이수현 교수님과 함께라면 버틸 수 있습니다!!!
이번 학기에는 10명 신청, 2명 자체드랍이라 학점을 그냥 뿌리셨더라구요... 이수현 교수님 수업은 계속 신청인원이 적어서 오히려 학점 받기에는 좋을 것 같기도 해요. 추천!"
초급러시아어 1,정하경,21,Fall,5.0,"교수님께서 굉장히 샤프하고 스마트하다는 느낌! 설명도 비교적 알게 쉽게 해주셔요. 흉악한 건 러시아어지.. 교수님이 아닌 걸로.. 시험은 퀴즈까지 해서 4번이었고, 매 수업 전 녹음과제나 필기과제는 조금씩 나와요. 그래도 학점도 잘 주신 것 같고 노어 기초도 꼼꼼히 다진 것 같네용"
